,EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
0,E1001000,32,1,3,1,5,18,2,10,3,4,55,3,2,4,1,1,12,4,10,2,2,10,7,0,8,1,3
1,E1001006,47,1,3,1,5,18,2,14,4,4,42,3,2,1,2,1,12,4,20,2,3,7,7,1,7,1,3
2,E1001007,40,1,5,2,5,18,1,5,4,4,48,2,3,1,5,0,21,3,20,2,3,18,13,1,12,1,4
3,E1001009,41,1,0,0,2,11,2,10,4,2,73,2,5,4,3,1,15,2,23,2,2,21,6,12,6,1,3
4,E1001010,60,1,3,1,5,18,2,16,4,1,84,3,2,1,8,1,14,4,10,1,3,2,2,2,2,1,3
5,E1001011,27,1,5,0,4,17,1,10,2,4,32,3,3,1,1,1,21,3,9,4,2,9,7,1,7,1,4
6,E1001016,50,1,3,2,5,14,2,8,4,4,54,3,1,2,7,1,15,4,4,2,3,2,2,2,2,1,3
7,E1001019,28,0,5,1,4,17,2,1,2,1,67,1,1,2,7,0,13,4,10,4,3,7,7,3,7,0,3
8,E1001020,36,0,5,2,4,17,0,8,3,1,63,4,3,1,9,1,14,1,10,2,3,8,7,0,5,1,3
9,E1001021,38,0,5,1,4,17,2,1,3,3,81,3,3,3,4,0,14,4,10,4,4,1,0,0,0,1,3
10,E1001022,44,1,4,1,4,17,0,24,3,1,49,1,1,3,2,1,14,3,9,5,3,5,2,1,4,1,3
11,E1001024,47,0,4,0,5,18,1,3,3,4,49,3,4,3,9,0,12,4,28,2,2,22,2,11,13,1,3
12,E1001025,30,1,3,0,5,18,2,27,5,3,99,3,2,4,7,1,23,4,10,2,2,8,7,7,7,1,4
13,E1001027,29,1,5,1,5,14,2,10,3,3,99,3,1,3,1,1,11,3,1,6,3,1,0,0,0,1,3
14,E1001030,42,1,4,0,4,17,1,19,3,3,57,4,1,3,6,0,12,4,7,2,3,2,2,2,2,0,3
15,E1001035,34,0,4,1,4,17,2,8,2,2,96,3,2,3,3,1,11,4,10,2,3,5,1,4,3,1,3
16,E1001038,39,0,0,2,2,9,2,3,3,3,44,4,2,2,9,1,15,3,12,3,1,8,3,3,6,1,3
17,E1001040,56,1,4,2,4,17,2,9,3,3,81,3,4,4,7,1,11,3,30,1,2,10,7,1,1,1,3
18,E1001041,40,0,4,1,4,17,2,2,1,4,86,2,1,4,0,0,20,4,5,2,2,4,2,2,3,1,4
19,E1001042,27,0,4,1,4,17,2,7,3,4,55,2,2,1,8,1,19,1,9,2,1,7,6,0,7,1,3
20,E1001044,29,1,3,0,5,14,2,10,3,4,83,3,1,2,1,1,14,4,2,2,3,2,2,2,2,1,3
21,E1001047,53,1,5,1,4,17,2,6,3,4,86,3,2,4,2,1,17,4,19,4,3,2,2,2,2,1,3
22,E1001049,35,0,5,0,4,12,0,2,4,4,61,3,2,1,2,1,11,1,16,2,4,1,0,0,0,1,3
23,E1001050,32,1,5,2,4,17,1,24,4,1,80,3,2,4,1,1,15,4,10,2,3,10,8,4,7,1,3
24,E1001053,34,0,5,0,4,17,2,8,5,2,32,3,2,1,3,1,14,3,7,3,3,0,0,0,0,1,3
25,E1001054,52,1,3,2,5,11,2,3,4,3,31,2,4,1,1,1,11,1,34,3,4,34,6,1,16,1,4
26,E1001058,33,1,1,1,4,17,2,1,4,4,63,3,1,4,1,0,13,3,10,2,2,10,9,7,8,0,3
27,E1001059,25,0,4,1,5,18,2,26,1,3,32,3,2,4,1,1,23,2,6,5,2,6,5,1,4,1,4
28,E1001061,45,1,2,1,5,14,2,2,2,2,46,1,2,3,0,1,13,1,9,3,3,8,7,3,1,1,3
29,E1001062,23,1,4,1,4,17,2,10,1,1,79,4,1,3,1,1,18,4,2,3,3,2,2,0,2,1,3
30,E1001063,47,0,5,1,5,18,1,27,2,2,77,4,2,3,4,0,12,4,8,2,3,5,4,1,3,0,3
31,E1001064,34,1,1,1,5,18,2,2,3,4,60,3,2,4,1,1,22,3,6,5,3,6,5,1,4,1,4
